Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours,Transmission Classification
Andorra,Europe,12053,15599.56,366,473.69,43,115,148.84,1,1.29,0,Community transmission
Guadeloupe,Americas,11512,2877.11,417,104.22,0,178,44.49,9,2.25,5,Community transmission
Somalia,Eastern Mediterranean,11398,71.72,734,4.62,0,529,3.33,58,0.36,0,Community transmission
Lesotho,Africa,10706,499.76,20,0.93,20,315,14.7,0,0,0,Community transmission
Togo,Africa,10480,126.59,974,11.77,231,109,1.32,2,0.02,0,Community transmission
Guyana,Americas,10249,1303.03,429,54.54,57,231,29.37,11,1.4,0,Clusters of cases
Mali,Africa,10199,50.36,552,2.73,157,386,1.91,11,0.05,1,Community transmission
South Sudan,Africa,10197,91.1,149,1.33,0,112,1,4,0.04,0,Community transmission
Congo,Africa,9681,175.44,0,0,0,135,2.45,0,0,0,Community transmission
Aruba,Americas,9443,8844.58,458,428.98,69,86,80.55,4,3.75,1,Community transmission
Bahamas,Americas,9171,2332.14,185,47.04,52,188,47.81,0,0,0,Clusters of cases
Suriname,Americas,9122,1554.98,45,7.67,13,177,30.17,0,0,0,Clusters of cases
Mongolia,Western Pacific,8841,269.68,2946,89.86,394,8,0.24,3,0.09,0,Clusters of cases
Curaçao,Americas,8404,5121.49,1980,1206.63,506,35,21.33,8,4.88,2,Community transmission
Djibouti,Eastern Mediterranean,8180,827.94,1164,117.81,178,71,7.19,7,0.71,1,Community transmission
Trinidad and Tobago,Americas,8026,573.5,123,8.79,22,142,10.15,1,0.07,0,Community transmission
Guam,Western Pacific,7600,4503.04,16,9.48,3,134,79.4,0,0,0,Clusters of cases
Martinique,Americas,7549,2011.65,285,75.95,0,50,13.32,3,0.8,0,Community transmission
Benin,Africa,7313,60.32,213,1.76,0,93,0.77,3,0.02,0,Community transmission
Equatorial Guinea,Africa,7008,499.51,157,11.19,94,103,7.34,1,0.07,1,Community transmission
Papua New Guinea,Western Pacific,6475,72.37,1510,16.88,363,60,0.67,21,0.23,0,Community transmission
Iceland,Europe,6205,1818.35,42,12.31,0,29,8.5,0,0,0,Community transmission
Gambia,Africa,5459,225.89,156,6.46,0,165,6.83,4,0.17,1,Community transmission
Nicaragua,Americas,5326,80.4,38,0.57,0,178,2.69,1,0.02,0,Community transmission
Central African Republic,Africa,5245,108.6,158,3.27,23,72,1.49,8,0.17,0,Community transmission
Niger,Africa,5026,20.76,71,0.29,5,187,0.77,2,0.01,0,Community transmission
San Marino,Europe,4730,13937.18,183,539.22,0,84,247.51,0,0,0,Community transmission
Chad,Africa,4552,27.71,87,0.53,19,164,1,6,0.04,0,Community transmission
Yemen,Eastern Mediterranean,4535,15.2,715,2.4,174,907,3.04,96,0.32,18,Community transmission
Gibraltar,Europe,4274,12685.88,3,8.9,0,94,279.01,0,0,0,Clusters of cases
Saint Lucia,Americas,4265,2322.64,104,56.64,27,61,33.22,3,1.63,1,Community transmission
Seychelles,Africa,4230,4301.1,348,353.85,41,22,22.37,4,4.07,1,Community transmission
Sierra Leone,Africa,3981,49.91,28,0.35,1,79,0.99,0,0,0,Community transmission
Comoros,Africa,3704,425.94,23,2.64,6,146,16.79,0,0,0,Community transmission
Guinea-Bissau,Africa,3661,186.03,54,2.74,11,63,3.2,2,0.1,0,Community transmission
Barbados,Americas,3652,1270.81,70,24.36,10,42,14.62,2,0.7,0,Community transmission
Eritrea,Africa,3308,93.28,116,3.27,23,10,0.28,1,0.03,0,Community transmission
Jersey,Europe,3228,2966.91,3,2.76,0,69,63.42,0,0,0,Community transmission
United States Virgin Islands,Americas,2907,2783.82,30,28.73,0,26,24.9,1,0.96,0,Community transmission
Burundi,Africa,2842,23.9,185,1.56,0,6,0.05,0,0,0,Community transmission
Liechtenstein,Europe,2761,7239.69,30,78.66,0,54,141.59,0,0,0,Sporadic cases
Viet Nam,Western Pacific,2617,2.69,36,0.04,14,35,0.04,0,0,0,Clusters of cases
Cambodia,Western Pacific,2477,14.82,509,3.04,0,16,0.1,9,0.05,2,Sporadic cases
Turks and Caicos Islands,Americas,2331,6020.46,16,41.32,2,17,43.91,0,0,0,Clusters of cases
Monaco,Europe,2305,5873.51,78,198.76,17,28,71.35,0,0,0,Sporadic cases
Sao Tome and Principe,Africa,2232,1018.44,58,26.46,7,34,15.51,0,0,0,Community transmission
Sint Maarten,Americas,2147,5006.76,33,76.96,7,27,62.96,0,0,0,Community transmission
New Zealand,Western Pacific,2145,44.48,22,0.46,0,26,0.54,0,0,0,Clusters of cases
Liberia,Africa,2053,40.59,1,0.02,0,85,1.68,0,0,0,Community transmission
Saint Vincent and the Grenadines,Americas,1750,1577.43,35,31.55,2,10,9.01,0,0,0,Community transmission
Saint Martin,Americas,1657,4286.19,24,62.08,0,12,31.04,0,0,0,Community transmission
Isle of Man,Europe,1569,1845.19,39,45.87,2,29,34.1,3,3.53,0,No cases
Bonaire,Americas,1367,6535.98,175,836.72,25,10,47.81,0,0,0,Community transmission
Bermuda,Americas,1217,1954.3,337,541.17,60,12,19.27,0,0,0,Community transmission
Antigua and Barbuda,Americas,1147,1171.26,47,47.99,11,28,28.59,0,0,0,Clusters of cases
Mauritius,Africa,1034,81.3,174,13.68,0,12,0.94,2,0.16,0,Clusters of cases
Bhutan,South-East Asia,886,114.83,16,2.07,13,1,0.13,0,0,0,Sporadic cases
Saint Barthélemy,Americas,857,8669.7,81,819.42,0,1,10.12,0,0,0,Clusters of cases
Guernsey,Europe,821,1299.13,0,0,0,14,22.15,0,0,0,Community transmission
Other,Other,745,,0,,0,13,,0,,0,Not applicable
Faroe Islands,Europe,661,1352.71,0,0,0,1,2.05,0,0,0,Sporadic cases
Timor-Leste,South-East Asia,643,48.77,249,18.89,39,0,0,0,0,0,Clusters of cases
United Republic of Tanzania,Africa,509,0.85,0,0,0,21,0.04,0,0,0,Pending
Cayman Islands,Americas,500,760.8,18,27.39,1,2,3.04,0,0,0,Sporadic cases
Wallis and Futuna,Western Pacific,418,3716.88,57,506.85,6,4,35.57,1,8.89,0,Sporadic cases
Brunei Darussalam,Western Pacific,213,48.69,7,1.6,1,3,0.69,0,0,0,Sporadic cases
Dominica,Americas,164,227.81,3,4.17,3,0,0,0,0,0,Clusters of cases
Northern Mariana Islands (Commonwealth of the),Western Pacific,159,276.25,0,0,0,2,3.47,0,0,0,Pending
Grenada,Americas,155,137.75,0,0,0,1,0.89,0,0,0,Sporadic cases
British Virgin Islands,Americas,154,509.31,0,0,0,1,3.31,0,0,0,Clusters of cases
New Caledonia,Western Pacific,121,42.38,0,0,0,0,0,0,0,0,Sporadic cases
Fiji,Western Pacific,67,7.47,0,0,0,2,0.22,0,0,0,Sporadic cases
Falkland Islands (Malvinas),Americas,51,1464.25,0,0,0,0,0,0,0,0,No cases
Lao People's Democratic Republic,Western Pacific,49,0.67,0,0,0,0,0,0,0,0,Sporadic cases
Saint Kitts and Nevis,Americas,44,82.72,0,0,0,0,0,0,0,0,Sporadic cases
Greenland,Europe,31,54.6,0,0,0,0,0,0,0,0,No cases
Holy See,Europe,26,3213.84,0,0,0,0,0,0,0,0,Sporadic cases
Anguilla,Americas,25,166.64,2,13.33,0,0,0,0,0,0,Sporadic cases
Saint Pierre and Miquelon,Americas,24,414.15,0,0,0,0,0,0,0,0,No cases
Montserrat,Americas,20,400.08,0,0,0,1,20,0,0,0,Sporadic cases
Sint Eustatius,Americas,20,637.15,0,0,0,0,0,0,0,0,No cases
Solomon Islands,Western Pacific,19,2.77,1,0.15,0,0,0,0,0,0,No cases
Saba,Americas,6,310.4,0,0,0,0,0,0,0,0,No cases
Marshall Islands,Western Pacific,4,6.76,0,0,0,0,0,0,0,0,No cases
Samoa,Western Pacific,4,2.02,0,0,0,0,0,0,0,0,No cases
Vanuatu,Western Pacific,3,0.98,0,0,0,0,0,0,0,0,No cases
American Samoa,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Cook Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Democratic People's Republic of Korea,South-East Asia,0,0,0,0,0,0,0,0,0,0,No cases
Kiribati,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Micronesia (Federated States of),Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Nauru,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Niue,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Palau,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Pitcairn Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Tokelau,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Tonga,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Turkmenistan,Europe,0,0,0,0,0,0,0,0,0,0,No cases
Tuvalu,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
